movie,chapter,character,TO,dialog
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,Lucius Malfoy,And the core?
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Lucius Malfoy,Voldemort,Dragon -- dragon heartstring.
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,Lucius Malfoy,My wand?  You can't possibly think I would give you my wand.
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Lucius Malfoy,Voldemort,"No, my lord."
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,All,"For those of you who do not know, we are joined tonight by Miss Charity Burbage who until recently taught at Hogwarts School of Witchcraft and Wizardry.  Her specialty was Muggle studies. It is Miss Burbage's belief that Muggles are not so different from us."
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,All,"She would, given her way, have us mate with them.  To her, the mixture of magical and Muggle blood is not an abomination but something to be encouraged.  I, of course, take a contrary view.  But we're all civilized here.  All adults.  We can agree to disagree."
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Charity Burbage,Severus Snape,"Severus, please.  We're friends..."
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,Charity Burbage,Avada Kedavra!
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,Nagini,Nagini... Dinner.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Vernon Dursley,Dudley Dursely,"Come now, Dudley.  Hurry up!"
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,Petunia Dursley,Time for the teary farewell.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Petunia Dursley,Harry Potter,I've lived in this house twenty years.  And now -- in a single night -- I'm expected to leave.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,Petunia Dursley,"They'll torture you.  Even Dudley. If they think you know where I'm going, they'll stop at noth--"
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Petunia Dursley,Harry Potter,You think I don't know that?  You think I don't know what they're capable of?
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Petunia Dursley,Harry Potter,"You didn't just lose a mother that night in Godric's Hollow, you know.  I lost a sister."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,Petunia Dursley,Do you have any?  Magic?
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Petunia Dursley,Harry Potter,What a cruel thing to ask.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Vernon Dursley,Harry Potter,"Well, this is goodbye then, boy."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Dudley Dursley,Vernon Dursely,I don't understand.  Isn't he coming with us?
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Vernon Dursley,Dudley Dursely,Who?
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Dudley Dursley,Vernon Dursely,Harry.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Vernon Dursley,Dudley Dursely,Absolutely not.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Dudley Dursley,Vernon Dursely,Why?
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Vernon Dursley,"Dudley Dursely, Harry Potter","Well, because -- he doesn't want to, do you, boy?"
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,Vernon Dursely,"Absolutely not.  Besides, I'm just a waste of space.  Isn't that right, Vernon?"
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Vernon Dursley,Dudley Dursely,"Come on, Dudley, we're off."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Dudley Dursley,Harry Potter,I don't think you're a waste of space.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,Dudley Dursely,Well... thanks.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,Dudley Dursely,"See you, Big D."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,Dudley Dursely ,Good riddance.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Rubeus Hagrid,Harry Potter,"All righ', 'arry?  Yeh look fit."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,All,"Yeah, he's ruddy gorgeous.  What say we get undercover before someone murders him."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,Kingsley Shacklebolt,"I thought you were looking after the Prime Minister, Kingsley."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Kingsley Shacklebolt,Harry Potter,You're more important.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Bill Weasley,Harry Potter,"Hello, Harry.  Bill Weasley."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Fred Weasley,Harry Potter,Wasn't always this handsome.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,George Weasley,Harry Potter,Dead ugly.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Bill Weasley,Harry Potter,True enough.  Owe it all to a werewolf by name of Greyback. Hope to repay the favor one day.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Fleur Delacour,Bill Weasley,"You are still beautiful to me, William."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Remus Lupin,Fleur Delacour,"Just remember, Fleur, once you're married:  Bill takes his steaks on the raw side now."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Nymphadora Tonks,Harry Potter,"My husband, the joker.  By the way, wait until you hear the news! Remus and I are --"
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,All,"All right, all right!  You'll all have time for a cozy catch-up later!  We've got to get the hell out of here and soon!"
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,Harry Potter,"Potter, you're underage, which means you've still got the Trace on you."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,Alastor Moody,The Trace?
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,Harry Potter,"You sneeze and the Ministry will know who wipes your nose.  Point is, we have to use those means of transport the Trace can't detect: brooms, thestrals and the like. We'll go in pairs.  That way if anyone's out there waiting for us -- and I reckon there will be -- they won't know which Harry Potter is the real one."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,Alastor Moody,The real one...?
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,Harry Potter,I believe you're familiar with this particular brew.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,All,No!  Absolutely not!
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Hermione Granger,All,I told you he'd take it well.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,All,If you think I'm going to let people risk their lives for me --
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Ron Weasley,Harry Potter,"Never done that before, have we?"
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,All,This is different.  Taking that. Becoming me -- no.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Fred Weasley,Harry Potter,"Well, none of us really fancy it, mate."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,George Weasley,Harry Potter,"Yeah, imagine if something went wrong and we were stuck as scrawny, specky gits forever."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,Harry Potter,"Everyone here's of age, Potter, and they've all agreed to take the risk."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Mundungus Fletcher,Harry Potter,"Technically, I've been coerced. Mundungus Fletcher, Mr. Potter. I've always been a huge admirer."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,"Mundungus Fletcher, Hermione Granger","Nip it, Mundungus!  All right, Granger, as discussed."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,Hermione Granger,"Blimey, Hermione!"
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,Hermione Granger,"Straight in here, if you please."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,All,"For those of you who haven't taken Polyjuice Potion before, fair warning.  It tastes like goblin piss."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Fred Weasley,Alastor Moody,"Have a lot of experience with that, do you, Mad-Eye?"
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Fred Weasley,All,Just trying to defuse the tension.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Fred Weasley,George Weasley,Wow -- we're identical!
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,George Weasley,Fred Weasley,Wow -- we're identical!
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,"Fred Weasley, George Weasley",Not yet you aren't.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,George Weasley,Alastor Moody,"Don't have something a bit more sporty, do you?"
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Fred Weasley,Alastor Moody,"Yes, don't fancy this color at all."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,"Fred Weasley, George Weasley, Harry Potter","Fancy this:  You're not you, so shut it and strip. You'll need to change too, Potter."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Fleur Delacour,Bill Weasley,"Bill, look away -- I'm 'ideous."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Ron Weasley,"Harry Potter, Hermione Granger",I knew Ginny was lying about that tattoo.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Hermione Granger,Harry Potter,"Harry, your eyesight really is awful."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,All,Blimey.  I almost forgot.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,"All, Harry Potter","Right then.  We'll be pairing off. Each Potter will have a protector. As for you, Harry..."
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,All ,Yes?
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,All,"The real Harry!  Where the devil are you, anyway?"
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Harry Potter,Alastor Moody,Here.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,Harry Potter,You'll ride with Hagrid.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Rubeus Hagrid,Harry Potter,Brought yeh here sixteen years ago when you were barely bigger than a Bowtruckle. Seems only righ' I should be the one ter take yeh away.
Harry Potter and the Deathly Hallows Part 1,The Seven Potters,Alastor Moody,"Rubeus Hagrid, All","Yeah, it's all very touching. Let's go."
Harry Potter and the Deathly Hallows Part 1,Aerial Ambush,Alastor Moody,All,"Good luck, everyone.  On the count of three.  One... two --"
Harry Potter and the Deathly Hallows Part 1,Aerial Ambush,Harry Potter,Rubeus Hagrid,Hagrid!  We've got to help the others!
Harry Potter and the Deathly Hallows Part 1,Aerial Ambush,Rubeus Hagrid,Harry Potter,"Can't do it, 'arry.  My job's ter get you where we're goin' safe 'n sound -- Mad-Eye's orders!"
Harry Potter and the Deathly Hallows Part 1,Aerial Ambush,Harry Potter,Rubeus Hagrid,What was that?
Harry Potter and the Deathly Hallows Part 1,Aerial Ambush,Rubeus Hagrid,Harry Potter,Dragon fire!
Harry Potter and the Deathly Hallows Part 1,Aerial Ambush,Death Eater,Death Eater,That's him!  The real one!
Harry Potter and the Deathly Hallows Part 1,Aerial Ambush,Rubeus Hagrid,Harry Potter,"Hol' tight, 'arry!  We've got ter get yeh out of here!"
Harry Potter and the Deathly Hallows Part 1,Aerial Ambush,Harry Potter,Rubeus Hagrid,Hagrid... HAGRID...!
Harry Potter and the Deathly Hallows Part 1,Aerial Ambush,Voldemort,Harry Potter,Avada...
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Molly Weasley,Harry Potter,Harry!  Hagrid!  What happened?! Have you seen the others?
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Harry Potter,Molly Weasley,Is no one back yet?
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Rubeus Hagrid,Molly Weasley,"They were on us from the star', Molly -- the Death Eaters.  And You-Know-Who as well."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Molly Weasley,"Rubeus Hagrid, Harry Potter","Well, thank goodness you two are all right."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Rubeus Hagrid,Molly Weasley,"Haven't go' any brandy, have yeh, Molly?  Fer medicinal purposes?"
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ginny Weasley,Harry Potter,Ron and Tonks should've already been back.  Dad and Fred as well.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ginny Weasley,George Weasley,Oh my God!  George!
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Remus Lupin,Ginny Weasley,The house!  Quickly!
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Molly Weasley,George Weasley,My boy!  My darling boy!  What've they done to you?!
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ginny Weasley,Remus Lupin,Remus!  What're you doing!
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Remus Lupin,Harry Potter,What creature sat in the corner the first time that Harry Potter visited my office at Hogwarts!
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Harry Potter,Remus Lupin,Are you mad...?
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Remus Lupin,Harry Potter,What Creature!
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Harry Potter,Remus Lupin,A grindylow!
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Remus Lupin,Harry Potter,We've been betrayed.  Voldemort knew you were being moved tonight. I had to make sure you weren't an imposter.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Harry Potter,Remus Lupin,Who did this to him?
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Remus Lupin,"Harry Potter, Molly Weasley","Snape. He'll be fine, Molly.  But that's Dark Magic.  The damage is done."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Rubeus Hagrid,Remus Lupin,Someone else is back.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Kingsley Shacklebolt,Remus Lupin,The last words Albus Dumbledore spoke to the pair of us?
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Remus Lupin,Kingsley Shacklebolt,'Harry is the best hope we have. Trust him.'
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Kingsley Shacklebolt,Harry Potter,What gave you away?
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Harry Potter,Kingsley Shacklebolt,Hedwig -- I think.  She was trying to protect me --
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ron Weasley,Hermione Granger,Hey ya -- Well... thanks.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Nymphadora Tonks,"Hermione Granger, Ron Weasley","Deserves that.  Brilliant, he was. Wouldn't be standing here without him."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Hermione Granger,Nymphadora Tonks,Really?
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ron Weasley,Hermione Granger,Always the tone of surprise.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Arthur Weasley,Remus Lupin ,Are we the last?  Where's George?
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Arthur Weasley,Remus Lupin ,Remus.  Where's my son?
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Fred Weasley,George Weasley,"How do you feel, Georgie?"
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,George Weasley,Fred Weasley,Saint-like.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Fred Weasley,George Weasley,Come again?
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,George Weasley,Fred Weasley,"Saint-like... You see, I'm holy. Holey, Fred, geddit?"
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Fred Weasley,George Weasley,"With the whole wide world of ear- related humor at your disposal, you go for holey?  Pathetic."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,George Weasley,Fred Weasley,"Reckon I'm still better-looking than you.  Better-looking than Bill, that's for sure."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Bill Weasley,All,Mad-Eye's dead.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Bill Weasley,All,Mundungus took one look at Voldemort and Disapparated.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Remus Lupin,All,Mad-Eye reckoned You-Know-Who would expect the real Harry to be with the most skilled Auror.  He knew he'd be in the most danger.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Arthur Weasley,All,It doesn't explain how they knew we were moving Harry tonight.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Rubeus Hagrid,All,"Wha'?  One of us?  Tha's mad.  I'd wager me life it wasn' none of you lot.  An' if it was me I'd kno', wouldn' I?  Talk in me sleep on occasion, I'll admit, but there's only Fang aroun' ter hear an' mostly it's gibberish an' besides I'd cut me tongue out 'fore 'd betray 'arry e'en in me dreams --"
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Rubeus Hagrid,Harry,Wha's so funny!
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Harry Potter,Rubeus Hagrid,"I trust you with my life, Hagrid. I trust everyone in this room. Understood?"
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Rubeus Hagrid,All,"'Ear, 'ear."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Remus Lupin,All,Better.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Garrick Ollivander,Voldemort,"No!  No!  I believed a different wand would work, I swear!"
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Voldemont,Garrick Ollivander,Then explain this!
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Garrick Ollivander,Voldemort,But it makes no sense...
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Voldemort,"Peter Pettigrew, Garrick Ollivander","Perhaps our friend's loyalties lie elsewhere, Wormtail."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Garrick Ollivander,Voldemort,No!  There must be a way!  I'll think of something else!
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Voldemort,Garrick Ollivander,"I hope so, Ollivander, for your sake.  I won't be so forgiving next time..."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ron Weasley,Harry Potter,Going somewhere?
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Harry Potter,Ron Weasley,No one else is going to die.  Not for me.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ron Weasley,Harry Potter,"For you?  You think Madeye died for you?  You think George took that curse for you?  You may be the Chosen One, mate, but this is a whole lot bigger than that."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Harry Potter,Ron Weasley,Come with me.  Now.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ron Weasley,Harry Potter,And leave Hermione?  Are you mad? We wouldn't last two days without her.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ron Weasley,Harry Potter,"Don't tell her I said that. Besides, you've still got the Trace on you.  And there's the wedding..."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Harry Potter,Ron Weasley,Wedding?
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ron Weasley,Harry Potter,"Bill and Fleur.  Mum's been planning it for months.  Only thing that's kept her sane, I reckon.  She'll kill me if I miss it.  Kill you too.  Rather go face to face with You-Know-Who if I'm honest."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Harry Potter,Ron Weasley,I don't care about a bloody wedding -- no matter whose it is. I have to start searching for the Horcruxes.  It's the only chance we have to beat him.  And the longer we wait the stronger he gets.
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ron Weasley,Harry Potter,"Tonight's not the night, mate. You'd only be doing him a favor."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ron Weasley,Harry Potter,Do you think he knows?
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ron Weasley,Harry Potter,"I mean, they're bits of his soul, the Horcruxes.  Bits of him.  When Dumbledore destroyed the ring and you destroyed Tom Riddle's diary all those years ago -- he must've felt something right?"
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ron Weasley,Harry Potter,"What I'm saying is, if we do this thing right, if we find the Horcruxes and begin to destroy them one by one..."
Harry Potter and the Deathly Hallows Part 1,Fallen Warrior,Ron Weasley,Harry Potter,Won't he know he's being hunted?
Harry Potter and the Deathly Hallows Part 1,Dumbledore's Will,Arthur Weasley,All,All together now!
Harry Potter and the Deathly Hallows Part 1,Dumbledore's Will,Arthur Weasley,All,One.  Two.  Three!
Harry Potter and the Deathly Hallows Part 1,Dumbledore's Will,Ginny Weasley,Harry Potter,Were you going to tell me?
Harry Potter and the Deathly Hallows Part 1,Dumbledore's Will,Harry Potter,Ginny Weasley,Yes.
Harry Potter and the Deathly Hallows Part 1,Dumbledore's Will,Ginny Weasley,Harry Potter,And Ron and Hermione.  They'll not be going back to Hogwarts either?
Harry Potter and the Deathly Hallows Part 1,Dumbledore's Will,Ginny Weasley,Harry Potter,I see.
Harry Potter and the Deathly Hallows Part 1,Dumbledore's Will,Harry Potter,Ginny Weasley,"Dumbledore didn't want anyone to know what it is we're doing.  If I tell you, I'd be betraying him."
Harry Potter and the Deathly Hallows Part 1,Dumbledore's Will,Ginny Weasley,Harry Potter,"Zip me up, will you."
Harry Potter and the Deathly Hallows Part 1,Dumbledore's Will,Ginny Weasley,Harry Potter,"Seems silly, doesn't it?  A wedding.  Given everything that's going on."
Harry Potter and the Deathly Hallows Part 1,Dumbledore's Will,Harry Potter,Ginny Weasley,Maybe that's the best reason to have it.  Because of everything that's going on.
Harry Potter and the Deathly Hallows Part 1,Dumbledore's Will,George Weasley,Harry Potter,Morning.
Harry Potter and the Deathly Hallows Part 1,Dumbledore's Will,Arthur Weasley,"Fred Weasley, George Weasley, Ron Weasley","How's it look on your end, boys?"
Harry Potter and the Deathly Hallows Part 1,Dumbledore's Will,Fred Weasley,Arthur Weasley,Brilliant!
