movie,chapter,character,,dialog
Harry Potter and the Gobelt of Fire,The Portkey,Fred Weasley,Harry Potter,That isn't just any old manky boot mate.
Harry Potter and the Gobelt of Fire,The Portkey,George Weasley,Harry Potter,It's a portkey.
Harry Potter and the Gobelt of Fire,The Portkey,Amos Diggory,,Time to go. Ready?
Harry Potter and the Gobelt of Fire,The Portkey,Harry Potter,,What's a 'portkey'?
Harry Potter and the Gobelt of Fire,The Portkey,Amos Diggory,,After 3. One... Two...
Harry Potter and the Gobelt of Fire,The Portkey,Arthur Weasley,Harry Potter,Harry!
Harry Potter and the Gobelt of Fire,The Portkey,Amos Diggory,,Three!
Harry Potter and the Gobelt of Fire,The Portkey,Arthur Weasley,,Let go kids!
Harry Potter and the Gobelt of Fire,The Portkey,Hermione Granger,,What??
Harry Potter and the Gobelt of Fire,The Portkey,Arthur Weasley,,Let! Go!
Harry Potter and the Gobelt of Fire,The Portkey,Arthur Weasley,Harry Potter,I bet that cleared your sinuses eh?
Harry Potter and the Gobelt of Fire,The Portkey,Harry Potter,Cedric Diggory,Thanks.
Harry Potter and the Gobelt of Fire,The Portkey,Arthur Weasley,,"Well kids, welcome to the Quidditch World Cup!"
Harry Potter and the Gobelt of Fire,The Portkey,Amos Diggory,Arthur Weasley,"Parting of the waves I think old chap, see you at the match."
Harry Potter and the Gobelt of Fire,The Portkey,Harry Potter,Cedric Diggory,See ya later Cedric.
Harry Potter and the Gobelt of Fire,The Portkey,Arthur Weasley,,Home sweet home.
Harry Potter and the Gobelt of Fire,The Portkey,Arthur Weasley,"Hermione Granger, Ginny Weasley, Ron Weasley","Girls. Choose a bunk and unpack. Ron, get out of the kitchen we're all hungry."
Harry Potter and the Gobelt of Fire,The Portkey,Fred Weasley,Ron Weasley,Yeah get out of the kitchen Ron.
Harry Potter and the Gobelt of Fire,The Portkey,George Weasley,Ron Weasley,Yeah get out of the kitchen Ron.
Harry Potter and the Gobelt of Fire,The Portkey,Arthur Weasley,"Fred Weasley, George Weasley",Feet off the table.
Harry Potter and the Gobelt of Fire,The Portkey,Fred Weasley,Arthur Weasley,Feet off the table.
Harry Potter and the Gobelt of Fire,The Portkey,George Weasley,Arthur Weasley,Feet off the table.
Harry Potter and the Gobelt of Fire,The Portkey,Harry Potter,,I love magic.
Harry Potter and the Gobelt of Fire,The Quidditch World Cup,Ron Weasley,Arthur Weasley,"Blimey Dad, how far up are we?"
Harry Potter and the Gobelt of Fire,The Quidditch World Cup,Lucius Malfoy,Ron Weasley,"Well put it this way, if it rains... you'll be the first to know"
Harry Potter and the Gobelt of Fire,The Quidditch World Cup,Draco Malfoy,Harry Potter,"Father and I are in the minister's box, by personal invitation of Cornelius Fudge himself."
Harry Potter and the Gobelt of Fire,The Quidditch World Cup,Lucius Malfoy,"Draco Malfoy, Arthur Weasley",Don't boast Draco. There's no need with these people. Do enjoy yourself won't you. While you can.
Harry Potter and the Gobelt of Fire,The Quidditch World Cup,Arthur Weasley,,"Come on up, take your seats. I told you these seats would be worth waiting for."
Harry Potter and the Gobelt of Fire,The Quidditch World Cup,George Weasley,Fred Weasley,Come on!
Harry Potter and the Gobelt of Fire,The Quidditch World Cup,Fred Weasley,George Weasley,It's the Irish!
Harry Potter and the Gobelt of Fire,The Quidditch World Cup,George Weasley,Fred Weasley,Here come the Bulgarians!
Harry Potter and the Gobelt of Fire,The Quidditch World Cup,Fred Weasley,George Weasley,Krum!!!
Harry Potter and the Gobelt of Fire,The Quidditch World Cup,George Weasley,Fred Weasley,Krum!!!
Harry Potter and the Gobelt of Fire,The Quidditch World Cup,Ron Weasley,George Weasley,Krum!!!
Harry Potter and the Gobelt of Fire,The Quidditch World Cup,George Weasley,Ron Weasley,Yes!
Harry Potter and the Gobelt of Fire,The Quidditch World Cup,Announcer,,Good evening! It gives me great pleasure to welcome each and every one of you to the final of the 422nd Quidditch World Cup. Let the match begin!
Harry Potter and the Gobelt of Fire,The Dark Mark,Ron Weasley,Harry Potter,"There's no one like Krum. He's like a bird the way he rides the wind. He's more than an athlete, he's an artist."
Harry Potter and the Gobelt of Fire,The Dark Mark,Ginny Weasley,Ron Weasley,Think you're in love Ron?
Harry Potter and the Gobelt of Fire,The Dark Mark,Fred Weasley,,Viktor I love you! Viktor I do!
Harry Potter and the Gobelt of Fire,The Dark Mark,George Weasley,,Viktor I love you! Viktor I do!
Harry Potter and the Gobelt of Fire,The Dark Mark,Fred Weasley,,When we're apart my heart beats only for youuu!
Harry Potter and the Gobelt of Fire,The Dark Mark,George Weasley,,When we're apart my heart beats only for youuu!
Harry Potter and the Gobelt of Fire,The Dark Mark,Harry Potter,,When we're apart my heart beats only for youuu!
Harry Potter and the Gobelt of Fire,The Dark Mark,Fred Weasley,Arthur Weasley,Sounds like the irish have got their pride on.
Harry Potter and the Gobelt of Fire,The Dark Mark,Arthur Weasley,Fred Weasley,Stop! Stop it. It's not the irish. We've gotta get out of here. Now.
Harry Potter and the Gobelt of Fire,The Dark Mark,Arthur Weasley,,"Get back to the portkey everybody, and stick together. Fred, George... Ginny is your responsibility."
Harry Potter and the Gobelt of Fire,The Dark Mark,Ron Weasley,Harry Potter,Been looking for you for ages. Thought we lost you.
Harry Potter and the Gobelt of Fire,The Dark Mark,Harry Potter,Ron Weasley,What is that?
Harry Potter and the Gobelt of Fire,The Dark Mark,Arthur Weasley,,Stop! That's my son.
Harry Potter and the Gobelt of Fire,The Dark Mark,Arthur Weasley,"Ron Weasley, Harry Potter, Hermione Granger","Ron, Harry, Hermione are you alright?"
Harry Potter and the Gobelt of Fire,The Dark Mark,Bartemius Crouch,"Ron Weasley, Harry Potter, Hermione Granger",Which of you conjured this?
Harry Potter and the Gobelt of Fire,The Dark Mark,Arthur Weasley,Bartemius Crouch,You can't possibly..
Harry Potter and the Gobelt of Fire,The Dark Mark,Bartemius Crouch,"Ron Weasley, Harry Potter, Hermione Granger",Do not lie! You have been discovered at the scene of the crime!
Harry Potter and the Gobelt of Fire,The Dark Mark,Harry Potter,Bartemius Crouch,Crime?
Harry Potter and the Gobelt of Fire,The Dark Mark,Arthur Weasley,Bartemius Crouch,"Barty, they're just kids."
Harry Potter and the Gobelt of Fire,The Dark Mark,Harry Potter,Bartemius Crouch,What crime?
Harry Potter and the Gobelt of Fire,The Dark Mark,Hermione Granger,Harry Potter,Harry it's his mark.
Harry Potter and the Gobelt of Fire,The Dark Mark,Harry Potter,Bartemius Crouch,"Those people tonight, in the masks... they're his too aren't they? they're his followers."
Harry Potter and the Gobelt of Fire,The Dark Mark,Bartemius Crouch,,Follow me.
Harry Potter and the Gobelt of Fire,The Dark Mark,Harry Potter,Bartemius Crouch,There was a man. Before. There.
Harry Potter and the Gobelt of Fire,The Dark Mark,Bartemius Crouch,,"All of you, this way."
Harry Potter and the Gobelt of Fire,The Dark Mark,Arthur Weasley,Harry Potter,"Harry, who?"
Harry Potter and the Gobelt of Fire,The Dark Mark,Harry Potter,Arthur Weasley,I dunno. I didn't see his face.
Harry Potter and the Gobelt of Fire,The Dark Mark,Trolley witch,,Anything from the trolley? Anything from the trolley?
Harry Potter and the Gobelt of Fire,The Dark Mark,Trolley witch,,Anything from the trolley dears?
Harry Potter and the Gobelt of Fire,The Dark Mark,Ron Weasley,Trolley witch,Packet of drewbals and a liquorice wand.
Harry Potter and the Gobelt of Fire,The Dark Mark,Ron Weasley,Trolley witch,"On second thought, just the drewbals."
Harry Potter and the Gobelt of Fire,The Dark Mark,Harry Potter,Ron Weasley,It's alright I'll get it.
Harry Potter and the Gobelt of Fire,The Dark Mark,Ron Weasley,Harry Potter,"Just the drewbals, thanks."
Harry Potter and the Gobelt of Fire,The Dark Mark,Cho Chang,Trolley witch,Two pumpkin pasties please.
Harry Potter and the Gobelt of Fire,The Dark Mark,Cho Chang,Trolley witch,Thank you.
Harry Potter and the Gobelt of Fire,The Dark Mark,Trolley witch,Harry Potter,Anything sweet for you dear?
Harry Potter and the Gobelt of Fire,The Dark Mark,Harry Potter,Trolley witch,Oh no thank you I'm not hungry.
Harry Potter and the Gobelt of Fire,The Dark Mark,Hermione Granger,Ron Weasley,"This is horrible, how can the ministry not know who conjured it. Isn't there any security or?"
Harry Potter and the Gobelt of Fire,The Dark Mark,Ron Weasley,Hermione Granger,"Loads according to Dad, that's what worried them so much. Happened right under their noses."
Harry Potter and the Gobelt of Fire,The Dark Mark,Hermione Granger,Harry Potter,"It's hurting again isn't it, your scar."
Harry Potter and the Gobelt of Fire,The Dark Mark,Harry Potter,Hermione Granger,I'm fine.
Harry Potter and the Gobelt of Fire,The Dark Mark,Hermione Granger,Harry Potter,"You know Sirius will want to hear about this. What you saw at the world cup, and the dream."
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Rubeus Hagrid,,Clear the runway.
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Harry Potter,,Well there's something you don't see every day.
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Albus Dumbledore,All,"Now we're all settled in and sorted, I'd like to make an announcement. This castle will not only be your home this year but home to some very special guests as well. You see Hogwarts has been choosen..."
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Albus Dumbledore,All,"So Hogwarts has been choosen to host a legendary event. The Tri-Wizard tournament. Now for those of you who do not know, the tri-wizard tournament brings together three schools for a series of magical contests. From each school a single contestant is selected to compete. Now let me be clear, if choosen you stand alone. And trust me when I say these contests are not for the faint hearted, but more of that later. For now please join me in welcoming the lovely ladies of the Beauxbatons Academy of magic and their headmistress Madam Maxime."
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Student,,"Blimey, that's one big woman."
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Albus Dumbledore,,"And now our friends from the north, please greet the proud sons of Durmstrang and the high master Igor Karkaroff."
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Ron Weasley,Harry Potter,"Blimey it's him, Viktor Krum!"
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Igor Karkaroff,Albus Dumbledore,Albus!
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Albus Dumbledore,Igor Karkaroff,Igor.
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Olympe Maxime,Albus Dumbledore,"Professor Dumbledore, my horses have travelled a long way. They will need attending to."
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Albus Dumbledore,Olympe Maxime,"Not to worry Madame Maxime, our gamekeeper Hagrid's more than capable of seeing to them."
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Olympe Maxime,Rubeus Hagrid,"But you know Monsieur Hagrid, they drink only single malt whiskey."
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Filius Flitwick,Rubeus Hagrid,You idiot!
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Albus Dumbledore,All,"Your attention please! I would like to say a few words. Eternal glory, that is what awaits the student who wins the tri-wizard tournament. But to do this that student must survive three tasks. Three extremely dangerous tasks."
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Fred Weasley,George Weasley,Wicked.
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Albus Dumbledore,All,For this reason the ministry has seen fit to impose a new rule. To explain all this we have the head of the department of international magic cooperation Mister Bartimus Crouch.
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Ron Weasley,"Harry Potter, Hermione Granger","Bloody hell, it's Mad-Eye Moody."
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Hermione Granger,"Harry Potter, Ron Weasley",Alastor Moody? The aura.
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Ron Weasley,Harry Potter,He was a catcher. Half the cells in Azkaban are full thanks to him. He's supposed to be mad as a hatter though these days.
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Albus Dumbledore,Alastor Moody,"My dear old friend, thanks for coming."
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Alastor Moody,Albus Dumbledore,That stupid roof.
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Seamus Finnigan,Harry Potter,What's that he's drinking do you suppose?
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Harry Potter,Seamus Finnigan,I don't know but I don't think it's Pumpkin Juice.
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Bartemius Crouch,,After much deliberation the ministry has concluded that for their own safety no student under the age of seventeen shall be allowed to put forth their name for the tri-wizard tournament. This decision is final.
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,George Weasley,Bartemius Crouch,That's rubbish! You don't know what you're doing!
Harry Potter and the Gobelt of Fire,The Triwizard Tournament,Albus Dumbledore,,Silence!
Harry Potter and the Gobelt of Fire,The Goblet of Fire,Albus Dumbledore,,"The goblet of fire. Anyone wishing to submit themselves for the tournament merely write their name upon a piece of parchment and throw it in the flame before this hour on Thursday night. Do not do so lightly, if choosen there's no turning back. As from this moment the tri-wizard tournament has begun."
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,,Alastor Moody.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,,"Ministry malcontent. And your new defence against the dark arts teacher. I'm here because Dumbledore asked me, end of story, goodbye, the end. Any questions? When it comes to the dark arts, I believe in a practical approach. But first, which of you can tell me how many unforgivable curses there are?"
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Hermione Granger,Alastor Moody,Three sir.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,Hermione Granger,And they are so named?
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Hermione Granger,Alastor Moody,Because they are unforgivable. Use of any one of them will...
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,,"Will earn you a one way ticket to Azkaban. Correct. Now the ministry says you're too young to see what these curses do. I say different! You need to know what you're up against, you need to be prepared, you need to find somewhere else to put your chewing gum other than the underside of your desk Mr Finnigan!"
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Seamus Finnigan,,"Aw no way, the old codger can see out the back of his head."
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,,"So, which curse shall we see first?"
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Ron Weasley,Alastor Moody,Yes...
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,Ron Weasley,Give us a curse.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Ron Weasley,Alastor Moody,"Well, my dad did tell me about one... The imperious curse."
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,Ron Weasley,"Ahhh yes, your father would know all about that. Gave the ministry quite a bit of grief a few years ago. Perhaps this will show you why."
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,,Hello. What a little beauty.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,,Don't worry. Completely harmless.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,,But if she bites... she's lethal!
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,,What are you laughing at?
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,,Talented isn't she? What shall I have her do next? Jump out the window? Drown herself?
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,,"Scores of witches and wizards have claimed that they only do did you-know-whose bidding under the influence of the imperious curse. But here's the rub, how do we sort out the liars? Another.. another.. Come on come on. Longbottom is it? Up."
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,Neville Longbottom,Professor Sprout tells me you have an aptitude for herbology.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Neville Longbottom,Alastor Moody,There's the um... The cruciatus curse.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,Neville Longbottom,Correct! Correct! come come. Particularly nasty. The torture curse.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Hermione Granger,Alastor Moody,"Stop it! Can't you see it's bothering him, stop it!"
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,Hermione Granger,Perhaps you could give us the last unforgivable curse Miss Granger.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,,The killing curse. Only one person is known to have survived it. And he's sitting in this room.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Ron Weasley,"Harry Potter, Hermione Granger","Brilliant isn't he! Completely demented of course. Terrifying to be in the same room with, he's really BEEN there you know."
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Hermione Granger,"Harry Potter, Ron Weasley","There's a reason those curses are unforgivable, and to perform them in a classroom. I mean did you see Neville's face."
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Hermione Granger,Neville Longbottom,Neville?
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,Neville Longbottom,Son. You alright?
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Alastor Moody,Neville Longbottom,"Come on, we'll have a cup of tea. I want to show you something."
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Ron Weasley,Harry Potter,"Eternal glory, be brilliant wouldn't it? In three years from now we'll be old enough to be choosen."
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Harry Potter,Ron Weasley,Yeah well rather you than me.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,George Weasley,,"Thank you thank you, well lads we've done it."
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Fred Weasley,,Cooked it up just this morning.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Hermione Granger,"Fred Weasley, George Weasley",It's not going to work.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Fred Weasley,Hermione Granger,Oh yeah? And why's that Granger.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Hermione Granger,"Fred Weasley, George Weasley",You see this? This is an age line. Dumbledore drew it himself.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Fred Weasley,Hermione Granger,So?
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Hermione Granger,"Fred Weasley, George Weasley",So a genius like Dumbledore couldn't possibly be fooled by something pathetically dimwitted such as an age potion.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,George Weasley,Hermione Granger,That's why it's so brilliant.
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,George Weasley,Fred Weasley,Ready Fred?
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,Fred Weasley,George Weasley,Ready George?
Harry Potter and the Gobelt of Fire,The Unforgivable Curses,George Weasley,Fred Wealey,You said..
Harry Potter and the Gobelt of Fire,The Four Champions,Albus Dumbledore,,"Sit down please. And now the moment you've all been waiting for, the champions selection!"
Harry Potter and the Gobelt of Fire,The Four Champions,Albus Dumbledore,,The Durmstrang champion is ... Viktor Krum!
Harry Potter and the Gobelt of Fire,The Four Champions,Albus Dumbledore,,The champion from Beauxbatons... Fleur Delacour
Harry Potter and the Gobelt of Fire,The Four Champions,Albus Dumbledore,,The Hogwarts champion... Cedric Diggory.
Harry Potter and the Gobelt of Fire,The Four Champions,Albus Dumbledore,,"Excellent! we now have our three champions! But in the end only one will go down in history. Only one will hoist this chalice of champions, this vessel of victory the tri-wizard cup!"
Harry Potter and the Gobelt of Fire,The Four Champions,Albus Dumbledore,Harry Potter,Harry Potter. Harry Potter?
Harry Potter and the Gobelt of Fire,The Four Champions,Rubeus Hagrid,,No... No.
Harry Potter and the Gobelt of Fire,The Four Champions,Albus Dumbledore,Harry Potter,Harry Potter!
Harry Potter and the Gobelt of Fire,The Four Champions,Hermione Granger,Harry Potter,Go on Harry. Harry for goodness sake.
Harry Potter and the Gobelt of Fire,The Four Champions,Student,,He's a cheat! He's not even seventeen yet.
Harry Potter and the Gobelt of Fire,The Four Champions,Albus Dumbledore,Harry Potter,Harry! Did you put your name in the goblet of fire?
Harry Potter and the Gobelt of Fire,The Four Champions,Harry Potter,Albus Dumbledore,No sir.
Harry Potter and the Gobelt of Fire,The Four Champions,Albus Dumbledore,Harry Potter,Did you ask one of the older students to do it for you?
Harry Potter and the Gobelt of Fire,The Four Champions,Harry Potter,Albus Dumbledore,No sir.
Harry Potter and the Gobelt of Fire,The Four Champions,Albus Dumbledore,Harry Potter,You're absolutely sure?
Harry Potter and the Gobelt of Fire,The Four Champions,Harry Potter,Albus Dumbledore,Yes sir.
Harry Potter and the Gobelt of Fire,The Four Champions,Olympe Maxime,Albus Dumbledore,Well of course he is lying.
Harry Potter and the Gobelt of Fire,The Four Champions,Alastor Moody,Olympe Maxime,"The hell he is. The goblet of fire is an exceptionally powerful magical object, only an exceptionally powerful conjurer could have hoodwinked it. Magic way beyond the talents of a fourth year."
Harry Potter and the Gobelt of Fire,The Four Champions,Igor Karkaroff,Alastor Moody,You seem to have given this a fair bit of thought Mad-Eye.
Harry Potter and the Gobelt of Fire,The Four Champions,Alastor Moody,Igor Karkaroff,It was once my job to think as dark wizards do Karkaroff perhaps you remember?
Harry Potter and the Gobelt of Fire,The Four Champions,Albus Dumbledore,"Alastor Moody, Bartemius Crouch",That doesn't help Alastor. Leave this to you Barty.
Harry Potter and the Gobelt of Fire,The Four Champions,Bartemius Crouch,"Albus Dumbledore, Olympe Maxime, Igor Karkaroff, Harry Potter","The rules are absolute, the goblet of fire constitutes a binding magical contract. Mr Potter has no choice, he is as of tonight... a tri-wizards champion."
Harry Potter and the Gobelt of Fire,Let Events Unfold,Minerva McGonagall,Albus Dumbledore,"This can't go on Albus. First the dark mark, now this?"
Harry Potter and the Gobelt of Fire,Let Events Unfold,Albus Dumbledore,Minerva McGonagall,What do you suggest Minerva?
Harry Potter and the Gobelt of Fire,Let Events Unfold,Minerva McGonagall,Albus Dumbledore,Put an end to it. Don't let Potter compete.
Harry Potter and the Gobelt of Fire,Let Events Unfold,Albus Dumbledore,Minerva McGonagall,You heard Barty the rules are clear.
Harry Potter and the Gobelt of Fire,Let Events Unfold,Minerva McGonagall,Albus Dumbledore,Well the devil with Barty and his rules. And since when did you accomodate them...
Harry Potter and the Gobelt of Fire,Let Events Unfold,Severus Snape,Albus Dumbledore,"Master I too find it difficult to believe this mere coincidence, if we are to truly discover the meaning of these events perhaps we should for the time being let them unfold."
Harry Potter and the Gobelt of Fire,Let Events Unfold,Minerva McGonagall,"Severus Snape, Albus Dumbledore",Do nothing?? Offer him up as bait? Potter is a boy not a piece of meat.
Harry Potter and the Gobelt of Fire,Let Events Unfold,Albus Dumbledore,"Severus Snape, Alastor Moody, Minerva McGonagall","I agree with Severus. Alastor, keep an eye on Harry will you?"
Harry Potter and the Gobelt of Fire,Let Events Unfold,Alastor Moody,Albus Dumbledore,I can do that.
Harry Potter and the Gobelt of Fire,Let Events Unfold,Albus Dumbledore,Alastor Moody,"Don't let him know though, he must be anxious enough as it is... knowing what lies ahead. Then again, we all are."
Harry Potter and the Gobelt of Fire,Let Events Unfold,Ron Weasley,Harry Potter,How did you do it?
Harry Potter and the Gobelt of Fire,Let Events Unfold,Ron Weasley,Harry Potter,Never mind. Doesn't matter. You could have let your best friend know though.
Harry Potter and the Gobelt of Fire,Let Events Unfold,Harry Potter,Ron Weasley,Let you know what?
Harry Potter and the Gobelt of Fire,Let Events Unfold,Ron Weasley,Harry Potter,You know bloody well what.
Harry Potter and the Gobelt of Fire,Let Events Unfold,Harry Potter,Ron Weasley,I didn't ask for this to happen Ron. Okay? You're being stupid.
Harry Potter and the Gobelt of Fire,Let Events Unfold,Ron Weasley,Harry Potter,"Yeah that's me, Ron Weasley... Harry Potter's stupid friend."
Harry Potter and the Gobelt of Fire,Let Events Unfold,Harry Potter,Ron Weasley,"I didn't put my name in that cup. I don't want eternal glory I just wanna be.. Look, I don't know what happened tonight and I don't know why, it just did ok."
Harry Potter and the Gobelt of Fire,Let Events Unfold,Ron Weasley,Harry Potter,Piss off.
Harry Potter and the Gobelt of Fire,Rita Skeeter,Rita Skeeter,,What a charismatic quartet. Hello!
Harry Potter and the Gobelt of Fire,Rita Skeeter,Rita Skeeter,,"I'm Rita Skeeter, I write for the daily prophet. But of course you know that don't you. It's you we don't know, you're the news. What quirks lurk beneath those rosy cheeks? what mysteries do the muscles mask? does courage lie beneath those curls? In short, what makes a champion tick. Me, myself and I want to know. Not to mention my rabid readers. So, who's feeling up to sharing? Mmm? Shall we start with the youngest. Lovely."
Harry Potter and the Gobelt of Fire,Rita Skeeter,Rita Skeeter,Harry Potter,This is cosy.
Harry Potter and the Gobelt of Fire,Rita Skeeter,Harry Potter,Rita Skeeter,It's a broomcupboard.
