movie,chapter,character,listener,dialog
Harry Potter and the Half-Blood Prince,Snape's Visitors,Narcissa Malfoy,Severus Snape,"Oh, Severus, please, if you would... I would be forever in your debt."
Harry Potter and the Half-Blood Prince,Snape's Visitors,Bellatrix Lestrange,Severus Snape,Swear to it.
Harry Potter and the Half-Blood Prince,Snape's Visitors,Bellatrix Lestrange,Severus Snape,Make the Unbreakable Vow. You see.  It's just empty words. Oh he'll try.  He'll give it his best effort.  But when it matters most he'll slither back into his hole.  Bloody coward...
Harry Potter and the Half-Blood Prince,Snape's Visitors,Severus Snape,Bellatrix Lestrange,Take out your wand.
Harry Potter and the Half-Blood Prince,Snape's Visitors,Bellatrix Lestrange,Severus Snape,"Will you, Severus Snape, watch over Draco Malfoy as he attempts to fulfill the Dark Lord's wishes."
Harry Potter and the Half-Blood Prince,Snape's Visitors,Severus Snape,Bellatrix Lestrange,I will.
Harry Potter and the Half-Blood Prince,Snape's Visitors,Bellatrix Lestrange,Severus Snape,"And will you, to the best of your ability, protect him from harm?"
Harry Potter and the Half-Blood Prince,Snape's Visitors,Severus Snape,Bellatrix Lestrange,I will.
Harry Potter and the Half-Blood Prince,Snape's Visitors,Bellatrix Lestrange,Severus Snape,"And should it prove necessary, if it seems Draco will fail... will you yourself carry out the deed that the Dark Lord has ordered Draco to perform?"
Harry Potter and the Half-Blood Prince,Snape's Visitors,Severus Snape,Bellatrix Lestrange,I will.
Harry Potter and the Half-Blood Prince,Who's Harry Potter?,Waitress,Harry Potter,Harry Potter.  Who's Harry Potter?
Harry Potter and the Half-Blood Prince,Who's Harry Potter?,Harry Potter,Waitress,Oh.  Um.  No one.  Bit of a tosser.
Harry Potter and the Half-Blood Prince,Who's Harry Potter?,Waitress,Harry Potter,"Funny that paper of yours.  Couple nights ago, I could swear I saw one of the pictures move."
Harry Potter and the Half-Blood Prince,Who's Harry Potter?,Harry Potter,Waitress,Really.
Harry Potter and the Half-Blood Prince,Who's Harry Potter?,Waitress,Harry Potter,Thought I'd gone round the twist.
Harry Potter and the Half-Blood Prince,Who's Harry Potter?,Harry Potter,Waitress,Hey.  I was wondering...
Harry Potter and the Half-Blood Prince,Who's Harry Potter?,Waitress,Harry Potter,Eleven.  That's when I get off.
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Harry Potter,I once knew a Muggle girl from Liverpool with hair like spun silk.  No light could resist it...
Harry Potter and the Half-Blood Prince,Horace Slughorn,Harry Potter,Albus Dumbledore,I like riding round on the trains. It takes my mind off... things.
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Harry Potter,"Rather unpleasant to behold, isn't it?  The tale is thrilling if I do say so myself, but I'm afraid now is not the time to tell it.  Take my arm."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Harry Potter,Albus Dumbledore,"I just Apparated, didn't I?"
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Harry Potter,Indeed.  And quite successfully I might add.  Most people vomit their first time.
Harry Potter and the Half-Blood Prince,Horace Slughorn,Harry Potter,Albus Dumbledore,Can't imagine why...
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Harry Potter,"Welcome to the charming village of Budleigh Babberton, Harry.  I assume right about now you're wondering why I've brought you here, am I right?"
Harry Potter and the Half-Blood Prince,Horace Slughorn,Harry Potter,Albus Dumbledore,"After all these years, I just sort of roll with it, sir."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Harry Potter,"Wand out, Harry."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,,Lumos...
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Horace Slughorn,Horace!
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Horace Slughorn,Albus Dumbledore,Merlin's Beard!
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Albus Dumbledore,"There's no need to disfigure me, Albus!"
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Horace Slughorn,"I must say, you make a very convincing armchair, Horace."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Albus Dumbledore,It's all in the upholstery. I come by the stuffing naturally. What gave me away?
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Horace Slughorn,Dragon's blood.
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Albus Dumbledore,"Yes, well, I couldn't very well use wizard's blood, could I?  Oho!"
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Horace Slughorn,"Ah yes.  Introductions.  Harry, this is an old friend and colleague of mine, Horace Slughorn.  Horace, this is, well, you know who this is. Apparently there's some thought he may be the Chosen One."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Horace Slughorn,"So why all the theatrics, Horace? You weren't perhaps expecting someone else, were you?"
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Albus Dumbledore,S-someone else?  I'm sure I don't know what you mean.
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Albus Dumbledore,Oh all right!  The Death Eaters have been trying to recruit me for over a year.  Do you know what that's like?  One can only say no to these people so many times before they...
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Horace Slughorn,Take matters into their own hands?
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Albus Dumbledore,I never stay anywhere more than a week.  The Muggles who own this place are in the Canary Islands.
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Horace Slughorn,"Well, I think it should be put back in order for them, don't you? Mind?"
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Horace Slughorn,That was fun.  May I use the loo?
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Albus Dumbledore,"Don't think I don't know why you're here, Albus!  The answer is still no!  Absolutely, unequivocally no!"
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Harry Potter,You look very like your father. Except for your eyes.  You've got --
Harry Potter and the Half-Blood Prince,Horace Slughorn,Harry Potter,Horace Slughorn,"My mother's eyes, yeah."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Harry Potter,Lily.  Lovely Lily.  She was exceedingly bright -- your mother. Even more impressive when one considers she was Muggle-born.
Harry Potter and the Half-Blood Prince,Horace Slughorn,Harry Potter,Horace Slughorn,One of my best friends is Muggle- born.  She's the best in our year.
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Harry Potter,"Oh, but you mustn't think I'm prejudiced!  No, no, no! Your mother was one of my absolute favorites!  Look, there she is. Right up front."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Harry Potter,"All mine, each and every one.  Ex- students, I mean.  You recognize Barnubas Cuffe, of course, editor of the Daily Prophet."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Harry Potter,"Always takes my owl should I want to register my opinion on the news of the day.  And there's Ambrosius Flume of Honeydukes.  Sends a hamper of chocolate to the house each birthday.  That is, when I had a house.  And Gwenog Jones, captain of the Holyhead Harpies -- free tickets whenever I want them. Of course, I haven't been to a match in some time..."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Harry Potter,"Ah yes.  Regulus Black.  You no doubt know of his older brother Sirius.  Died a few weeks ago.  I taught the whole Black family except Sirius.  Shame.  Talented boy.  I got Regulus when he came along, of course, but I'd have liked the set."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Horace Slughorn,Mind if I take this?  I do love knitting patterns.
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Albus Dumbledore,Of course.  But you're not leaving?
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Horace Slughorn,"I think I know a lost cause when I see one.  Regrettable.  I would have considered it a personal triumph had you consented to return to Hogwarts, Horace.  You are, like my friend Mr. Potter -- one of a kind."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Horace Slughorn,Albus Dumbledore,"All right!  I'll do it.  But I'll be wanting Professor Merrythought's old office, not that water closet I had formerly. And I expect a raise!  These are mad times we live in!  Mad!"
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Horace Slughorn,Indeed they are.
Harry Potter and the Half-Blood Prince,Horace Slughorn,Harry Potter,Albus Dumbledore,"Sir, exactly what was that all --"
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Harry Potter,"You are talented, famous and powerful -- everything Horace values.  Professor Slughorn is going to try to collect you, Harry.  You would be his crowning jewel.  That is why he is returning to Hogwarts.  And it is crucial he return..."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Harry Potter,"I fear I may have stolen a wondrous night from you, Harry. She was, truthfully, very pretty. The girl."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Harry Potter,Albus Dumbledore,"It's alright, sir.  I'll go back tomorrow, make some excuse --"
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Harry Potter,"You'll not be going back to Little Whinging tonight, Harry."
Harry Potter and the Half-Blood Prince,Horace Slughorn,Harry Potter,Albus Dumbledore,"But, sir.  What about Hedwig?  And there's my trunk --"
Harry Potter and the Half-Blood Prince,Horace Slughorn,Albus Dumbledore,Harry Potter,Both are waiting for you.
Harry Potter and the Half-Blood Prince,Horace Slughorn,Harry Potter,Albus Dumbledore,Sir?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ginny Weasley,Molly Weasley,Hedwig...?  Mum!
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ginny Weasley,Molly Weasley,Exactly.  How'd you guess?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ginny Weasley,Molly Weasley,"I'm joking, Mum."
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Molly Weasley,Ginny Weasley,You're worse than Fred and George.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ginny Weasley,Molly Weasley,Now you're joking.  I was only wondering when Harry got here.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Molly Weasley,Ginny Weasley,Harry who?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ginny Weasley,Molly Weasley,"Harry Dimpleton.  Harry Potter, of course."
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Molly Weasley,Ginny Weasley,"I think I'd know if Harry Potter was in my house, wouldn't I?"
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ginny Weasley,Molly Weasley,Well his trunk's in the kitchen. And his owl.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Molly Weasley,Ginny Weasley,I seriously doubt that.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,All,Harry?  Did someone say Harry?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ginny Weasley,Ron Weasley,"Me, nosy.  Is he up there with you?"
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,Ginny Weasley,"'Course not.  Think I'd know if my best friend was in my room, wouldn't I?"
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,All,Was that an owl I heard?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ginny Weasley,Hermione Granger,"Harry's.  Haven't seen him, have you?  Apparently, he's wandering about the house."
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,Ginny Weasley,Really?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,Hermione Granger,Really.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,Harry Potter,Harry!
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,Harry Potter,Harry!
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Molly Weasley,Harry Potter,But why didn't you tell us you were coming?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,All,Didn't know. Dumbledore.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Molly Weasley,Ron Weasley,"That man.  But then, what would we do without him?  Ron!"
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,Harry Potter,You've a bit of...
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,Hermione Granger,When'd you get here?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,Harry Potter,"A few days ago.  Though... for a bit, I wasn't sure I was coming."
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,Harry Potter,Mum sort of lost it last week. Said Ginny and I had no business going back to Hogwarts.  That it's too dangerous.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,"Hermione Granger, Ron Weasley",Oh come on...
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,Harry Potter,She's not alone.  Even my parents -- and they're Muggles -- know something bad is happening.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,Harry Potter,"Anyway, Dad stepped in, told her she was being barmy.  Took a day or two, but she came round."
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,"Hermione Granger, Ron Weasley",But we're talking about Hogwarts. Dumbledore. What could be safer?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,Harry Potter,There's been a lot of chatter lately.  That he's gotten... old.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,"Hermione Granger, Ron Weasley",Rubbish.  He's only -- what?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,Harry Potter,A hundred and fifty.  Give or take a few years.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,,Step up!  Step up!
Harry Potter and the Half-Blood Prince,What Could Be Safer?,George Weasley,,Step up!  Step up!
Harry Potter and the Half-Blood Prince,What Could Be Safer?,George Weasley,Harry Potter,We've got Fainting Fancy...
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,Harry Potter,Nosebleed Nougats...
Harry Potter and the Half-Blood Prince,What Could Be Safer?,George Weasley,Harry Potter,And just in time for school...
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,Harry Potter,Puking Pastilles!
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,Harry Potter,"Into the cauldron, handsome."
Harry Potter and the Half-Blood Prince,What Could Be Safer?,George Weasley,Harry Potter,"Into the cauldron, handsome."
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,Harry Potter,"What'd you think, Harry?"
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,"George Weasley, Fred Weasley",Amazing.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,George Weasley,Harry Potter,"Pocket that and you'll pay in more than Galleons, my friend."
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,Harry Potter,We've got eyes in the back of our heads.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,George Weasley,Harry Potter,Bloody urchins.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,"George Weasley, Fred Weasley",Peruvian Instant Darkness Powder?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,Harry Potter,A real money spinner that.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,Harry Potter,"Handy if you need to make a quick escape.  Hello, ladies!"
Harry Potter and the Half-Blood Prince,What Could Be Safer?,George Weasley,Harry Potter,"Yes, they do really work."
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,Harry Potter,"Then again, the way we hear it, sis, you're doing just fine on your own."
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ginny Weasley,"George Weasley, Fred Weasley",Meaning?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,Ginny Weasley,Are you not currently dating Dean Thomas?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ginny Weasley,"George Weasley, Fred Weasley",None of your business.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,"George Weasley, Fred Weasley",These are adorable.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,Ron Weasley,Aren't they now.  Pygmy Puffs. Can't breed them fast enough.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,"George Weasley, Fred Weasley",How much for this?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,Ron Weasley,Five Galleons.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,George Weasley,Ron Weasley,Five Galleons.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,"George Weasley, Fred Weasley",How much for me?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,Ron Weasley,Five Galleons.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,George Weasley,Ron Weasley,Five Galleons.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,"George Weasley, Fred Weasley",But I'm your brother!
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Fred Weasley,Ron Weasley,Ten Galleons.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,"George Weasley, Fred Weasley",C'mon. Let's go.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Lavender Brown,Ron Weasley,"Hi, Ron."
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,Lavender Brown,Hi.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,"Ron Weasley, Harry Potter",How is it Fred and George are doing it?  Half the alley's closed down.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,"Hermione Granger, Harry Potter",Fred reckons people need a laugh these days.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,"Hermione Granger, Ron Weasley",Reckon he's right...
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,"Ron Weasley, Harry Potter",Oh no.  Look.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,"Ron Weasley, Harry Potter",But everyone got their wands from Ollivander.  Young.  Old...
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,"Hermione Granger, Ron Weasley",Good.  Bad.  Speaking of which...
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,"Hermione Granger, Harry Potter",Is it just me?  Or do Draco and mummy look like two people who don't want to be followed?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,"Hermione Granger, Harry Potter",What're they playing at?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,"Hermione Granger, Ron Weasley",Dunno.  Let's get closer.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,Harry Potter,Hey.  Where's Hermione?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,Harry Potter,"Harry, where is she?"
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,Ron Weasley,I don't know.  I'm turned around.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,Harry Potter,Bloody hell.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,"Ron Weasley, Harry Potter",Sorry.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,"Hermione Granger, Ron Weasley",What just happened?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,"Ron Weasley, Harry Potter",I don't know.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Luna Lovegood,"Hermione Granger, Ron Weasley, Harry Potter",Quibbler...?  Quibbler...?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Luna Lovegood,"Hermione Granger, Ron Weasley, Harry Potter",There's an article on Wrackspurts this month.  Quibbler...?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Luna Lovegood,"Hermione Granger, Ron Weasley, Harry Potter","He's lovely.  They've been known to sing on Boxing Day, you know. Quibbler?"
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ginny Weasley,Luna Lovegood,Please.  What's a Wrackspurt?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Luna Lovegood,All,They're invisible creatures that float in through your ears and make your brain go fuzzy. Quibbler?  Quibbler?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,Luna Lovegood,"Don't you see, it was a ceremony. An initiation."
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,Harry Potter,"Stop, Harry, I know where you're going with this --"
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,"Hermione Granger, Ron Weasley",It's happened.  He's one of them.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,Harry Potter,One of what?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,"Ron Weasley, Harry Potter",Harry is under the impression that Draco Malfoy is now a Death Eater.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,Hermione Granger,You're barking.  What would You- Know-Who want with a sod like Malfoy?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,"Hermione Granger, Ron Weasley",So what's he doing in Borgin and Burke's?  Browsing for furniture?
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Ron Weasley,"Hermione Granger, Harry Potter",It's a creepy shop.  He's a creepy bloke.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,"Hermione Granger, Ron Weasley","Look.  His father's a Death Eater. It only makes sense.  Besides, Hermione saw it.  With her own eyes."
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Hermione Granger,Harry Potter,I told you.  I don't know what I saw.
Harry Potter and the Half-Blood Prince,What Could Be Safer?,Harry Potter,"Hermione Granger, Ron Weasley",I need some air.
Harry Potter and the Half-Blood Prince,That's For My Father,Draco Malfoy,Blaise Zabini,What just happened?  Blaise?
Harry Potter and the Half-Blood Prince,That's For My Father,Blaise Zabini,Draco Malfoy,Don't know.
Harry Potter and the Half-Blood Prince,That's For My Father,Pansy Parkinson,"Draco Malfoy, Blaise Zabini","Relax, boys.  The lights went out is all.  Come, Draco.  We'll be at Hogwarts before you know it."
Harry Potter and the Half-Blood Prince,That's For My Father,Draco Malfoy,Pansy Parkinson,Hogwarts.  What a pathetic excuse for a school.  I think I'd pitch myself off the Astronomy Tower if I thought I had to continue on for another two years.
Harry Potter and the Half-Blood Prince,That's For My Father,Pansy Parkinson,Draco Malfoy,What's that supposed to mean?
Harry Potter and the Half-Blood Prince,That's For My Father,Draco Malfoy,Blaise Zabini,Let's just say I don't think you'll be seeing me wasting my time in Charms Class next year.
Harry Potter and the Half-Blood Prince,That's For My Father,Draco Malfoy,Blaise Zabini,"Amused, Blaise?  We'll see just who's laughing in the end."
Harry Potter and the Half-Blood Prince,That's For My Father,Hermione Granger,Ron Weasley,Where's Harry?
Harry Potter and the Half-Blood Prince,That's For My Father,Ron Weasley,Hermione Granger,Probably on the platform.  C'mon.
Harry Potter and the Half-Blood Prince,That's For My Father,Draco Malfoy,"Blaise Zabini, Pansy Parkinson",You two go on.  I want to check something.
Harry Potter and the Half-Blood Prince,That's For My Father,Draco Malfoy,"Blaise Zabini, Pansy Parkinson","Didn't mummy ever tell you it's bad manners to eavesdrop, Potter? Petrificus Totalus!"
Harry Potter and the Half-Blood Prince,That's For My Father,Draco Malfoy,"Blaise Zabini, Pansy Parkinson","Oh, right, she was dead before you could wipe the drool off your chin."
Harry Potter and the Half-Blood Prince,That's For My Father,Draco Malfoy,"Blaise Zabini, Pansy Parkinson",Enjoy the ride back to London.
Harry Potter and the Half-Blood Prince,That's For My Father,Luna Lovegood,Harry Potter,"Hello, Harry."
Harry Potter and the Half-Blood Prince,That's For My Father,Harry Potter,Luna Lovegood,Luna.  How'd you...?
Harry Potter and the Half-Blood Prince,That's For My Father,Luna Lovegood,Harry Potter,Wrackspurts. Your head's full of them.
Harry Potter and the Half-Blood Prince,That's For My Father,Harry Potter,Luna Lovegood,"Sorry I made you miss the carriages, Luna."
Harry Potter and the Half-Blood Prince,That's For My Father,Luna Lovegood,Harry Potter,It's alright.  I enjoyed our walk. It was like being with a friend.
Harry Potter and the Half-Blood Prince,That's For My Father,Harry Potter,Luna Lovegood,"I am your friend, Luna."
Harry Potter and the Half-Blood Prince,That's For My Father,Luna Lovegood,Harry Potter,That's nice.
Harry Potter and the Half-Blood Prince,That's For My Father,Filius Flitwick,"Harry Potter, Luna Lovegood",About time!  I've been looking all over for you two.  Names.
Harry Potter and the Half-Blood Prince,That's For My Father,Harry Potter,Filius Flitwick,"Professor Flitwick, you've known me for five years."
Harry Potter and the Half-Blood Prince,That's For My Father,Filius Flitwick,Harry Potter,"No exceptions, Potter."
Harry Potter and the Half-Blood Prince,That's For My Father,Luna Lovegood,Filius Flitwick,Who are those people?
